Ship	主菜单
Foreground	前景
Opacity	不透明度
Rainbow	彩虹
Red	红色
Green	绿色
Blue	蓝色
Yellow	黄色
White	白色
Black	黑色
Purple	紫色
Orange	橙色
Pink	粉色
Grey	灰色
Gray	灰色
Texture Only	仅纹理
Size Only	仅大小
Faster Run & Longer Jump	加快跑步并延长跳跃
Faster Run	加快跑步
Consistent Vanish	一致消失
No Vanish	不消失
New Location + Major Item	新地点或重要物品
New Location + Any Item	新地点或任意物品
New Location	新地点
Major Item	重要物品
Any Item	任意物品
File N.1	存档 1
File N.2	存档 2
File N.3	存档 3
File select	存档选择
No Damage	无伤害
0.25 Heart	四分之一颗心
0.5 Heart	半颗心
1 Heart	一颗心
Vanilla (1x)	原版（1 倍）
Double (2x)	双倍（2 倍）
Quadruple (4x)	四倍（4 倍）
Octuple (8x)	八倍（8 倍）
Foolish (16x)	疯狂（16 倍）
Ridiculous (32x)	荒诞（32 倍）
Merciless (64x)	无情（64 倍）
Pure Torture (128x)	折磨（128 倍）
OHKO (256x)	一击毙命（256 倍）
