Change Red Potion Effect	修改红色药水效果
Targetable Hookshot Reticle	钩索准星标出可勾住的目标
Use Alternate Assets	使用替换资源
Disable Bomb Billboarding	关闭炸弹始终朝向镜头
Disable Grotto Fixed Rotation	关闭洞穴入口固定旋转
Invisible Bunny Hood	隐藏兔子头套外观
Disable HUD Heart animations	关闭界面爱心动画
Rotation	旋转
Rotate Link with D-pad	用方向键旋转林克
Rotate Link with C-buttons	用 C 键旋转林克
Rotate Link with Right Stick	用右摇杆旋转林克
Rotation Speed: %d	旋转速度：%d
Static loop	固定循环动画
Idle (standing)	待机（站立）
Idle (look around)	待机（环顾四周）
Idle (belt)	待机（整理腰带）
Idle (shield)	待机（整理盾牌）
Idle (test sword)	待机（试剑）
Idle (yawn)	待机（打哈欠）
Battle Stance	战斗姿势
Walking (no shield)	行走（不持盾）
Walking (holding shield)	行走（持盾）
Running (no shield)	奔跑（不持盾）
Running (holding shield)	奔跑（持盾）
Hand on hip	叉腰
Spin attack charge	回旋斩蓄力
Look at hand	查看手掌
Randomize	随机化
Random cycle	随机循环
Random cycle (Idle)	随机循环（待机）
Frame to wait: %d	等待帧数：%d
Disable LOD	关闭远处模型简化
Disable Draw Distance	取消绘制距离限制
Kokiri Draw Distance	科克里族绘制距离
Show Age-Dependent Equipment	显示另一年龄的装备
Scale Adult Equipment as Child	缩小孩童使用的成人装备
N64 Mode	N64 显示模式
Glitch line-up tick	漏洞对位标记
Enable 3D Dropped items/projectiles	掉落物与投射物使用 3D 模型
Disable Black Bar Letterboxes	取消上下黑边
Dynamic Wallet Icon	动态钱包图标
Always show dungeon entrances	始终显示迷宫入口
Show Gauntlets in First Person	第一人称显示手套
Color Temple of Time's Medallions	时之神殿徽章着色
Show locked door chains on both sides of locked doors	锁门两侧均显示锁链
Fix Vanishing Paths	修正道路消失
Text Spacing: %d	文字间距：%d
More info in file select	存档选择界面显示更多信息
Better ammo rendering in pause menu	改进暂停菜单弹药显示
Fix L&R Pause menu	修正暂停菜单 L／R 键
Fix L&Z Page switch in Pause menu	修正暂停菜单 L／Z 翻页
Fix Dungeon entrances	修正迷宫入口
Fix Two Handed idle animations	修正双手武器待机动作
Fix the Gravedigging Tour Glitch	修正挖掘之旅漏洞
Fix Deku Nut upgrade	修正德库果实升级
Fix Navi text HUD position	修正娜薇文字位置
Fix Anubis fireballs	修正阿努比斯火球
Fix Megaton Hammer crouch stab	修正巨人之锤蹲刺
Remove power crouch stab	取消强力蹲刺
Fix credits timing	修正制作人员名单时序
Fix Gerudo Warrior's clothing colors	修正格鲁德战士服装颜色
Fix Camera Drift	修正镜头漂移
Fix Camera Swing	修正镜头摆动
Fix Hanging Ledge Swing Rate	修正悬挂边缘时的摆动速度
Fix Missing Jingle after 5 Silver Rupees	修正集齐五枚银卢比后缺失的提示乐
Fix out of bounds textures	修正越界纹理
Fix Poacher's Saw Softlock	修正偷猎者锯子流程卡死
Fix enemies not spawning near water	修正水边敌人不生成
Fix Bush Item Drops	修正灌木物品掉落
